点赞数,评论数,转发数,发布时间,微博内容
3,0,1,2022-12-5 11:46,【全球连线｜中国巴新友好微创外科中心挂牌运营】中国巴新友好微创外科中心2日在巴布亚新几内亚首都莫尔兹比港举行挂牌仪式并正式运营。这一微创外科中心设在巴新最大的综合性医院莫尔兹比港总医院，由中国援巴新医疗队和总医院共同管理运营。（新华社） 中国一带一路网的微博视频 
7,0,1,2022-12-5 10:34,【通讯：中老铁路优质服务暖人心】中老铁路老挝段沿线客运站的候车室干净整洁，车厢温馨舒适，客运人员和乘务人员落落大方、温馨服务。他们为腿脚不便的旅客提供重点关爱服务，帮扶携带小孩且行李较多的旅客乘坐电梯，用中老英泰等语言开展符合老挝国情的礼仪服务，提供物美价廉的食物和饮料……优质的服务温暖着乘客的心。（新华社）
5,0,0,2022-12-4 19:32,【中老铁路交出闪亮答卷】中老铁路北起云南省昆明市，穿越中国境内的磨盘山、哀牢山，跨过元江、澜沧江，通过友谊隧道进入老挝，最终抵达万象。这条连接中国和老挝的黄金线路运行一年来，让沿线经贸合作更密切，成为新时代的“钢铁丝路”。 
3,0,2,2022-12-3 15:39,【甘肃和白俄罗斯交流再结硕果 多领域合作不断深化】“友好城市是地方政府之间增进了解、深化合作、共谋发展的重要平台。”甘肃省政府外事办主任张宝军11月28日介绍称，甘肃同白俄罗斯的交流交往由来已久。近年来，甘肃陇南市与白俄罗斯格罗德诺市、白银市与布列斯特市、武威市与明斯克州斯卢茨克区，以及敦煌市与格罗德诺州新格鲁德克区都相继建立友好城市关系，构建了多层次的沟通渠道和良好的交流合作机制，为双方深化务实合作提供有力支撑。（中国新闻网）
3,0,1,2022-12-3 13:31,【湖南湘乡首趟国际班列发车】11月29日，随着一声汽笛长鸣，满载集装箱的货运班列从湖南省湘乡市启程，开往莫斯科。据悉，这是湘乡开通的首趟中欧国际班列。（新华社） 湖南湘乡首趟国际班列发车 
5,0,2,2022-12-3 12:31,【中国援多哥医疗队举行义诊活动】中国第25批援多哥医疗队11月30日在该国佩莱省阿代塔镇卫生所进行义诊活动，为当地民众提供诊疗服务。（新华社） 中国援多哥医疗队举行义诊活动 
5,0,4,2022-12-3 12:29,【前10个月我国服务进出口总额同比增长17.2%】商务部1日公布数据显示，今年1至10月，我国服务进出口总额49185.5亿元，同比增长17.2%。（新华社） 中国一带一路网的微博视频 
4,0,3,2022-12-3 12:24,【通讯：中资企业为马来西亚青年搭建成长平台】马来西亚南部柔佛州新山市，一座由中国建筑第三工程局马来西亚公司承建的现代化数据中心——万国数据中心正拔地而起。负责现场施工技术的马来西亚华人工程师张贻龙近日在接受记者采访时说，该项目已成为他加速实现职业理想的平台。“项目已经是我第二个家了，看着项目从无到有，特别有成就感。”（新华社）
4,0,1,2022-12-2 17:10,【马布里“读懂中国”主题演讲精彩上线：中国哲学深刻影响着我】由国家创新与发展战略研究会、中国外文局国际传播发展中心·解读中国工作室联合制播的“读懂中国”演讲精彩上线。节目中，演讲嘉宾CBA北京紫禁勇士篮球俱乐部主教练、前美国职业篮球运动员斯蒂芬·马布里向海内外网友讲述了对篮球的热爱、与中国的情缘以及中国“水的哲学”对自己人生的影响。（新华网）
3,0,1,2022-12-2 15:10,【上海：“进博效应”推动，“舌尖上”体味更多开放】异国餐厅，万国食材。在中国国际进口博览会的举办地上海，“以舌尖为媒”，居民正在感受到更多的“开放味”。近年来，一批世界名厨纷纷选择在上海开出“中国首店”。美团黑珍珠餐厅指南发布的《中国精致餐饮报告2022》显示，2021年上海非中式餐饮的门店数量较2020年同期增长了近18%，其中日本菜门店、法国菜门店、牛排馆、意大利菜门店数量位居前列。（新华社）
5,0,2,2022-12-2 15:10,【首趟“柯桥号”中欧班列经霍尔果斯铁路口岸出境】28日，首趟“柯桥号”中欧班列经霍尔果斯铁路口岸出境，开往乌兹别克斯坦首都塔什干。今年以来，霍尔果斯铁路口岸新增中欧班列线路19条，累计达75条，为加快构建以国内大循环为主体、国内国际双循环相互促进的新发展格局作出贡献。（新华社）
2,0,2,2022-12-2 14:05,【海南自贸港首单跨境电商企业对企业直接出口货物通关】当天一批货值56万元、重3.16吨的服装及饰品在海口海关所属海口美兰机场海关顺利通关，后续将出口法国，这是海南省的企业首次通过跨境电商企业对企业（B2B）“9710”模式申报出口货物，标志着海南自贸港跨境电商外贸新业态取得实质性突破。（人民日报）
4,0,1,2022-12-2 13:02,【中国“红莲稻”助力“一带一路”国家农业发展】“武汉大学研发的红莲型杂交水稻耐热、耐干旱、质量高，在我国得到广泛推广”“希望红莲型杂交水稻使更多的区域和人民受益，为构建安全、稳定、合理的世界粮食安全作出贡献”……（新华社） 中国“红莲稻”助力“一带一路”国家农业发展 
8,0,2,2022-12-2 11:46,【中亚首家鲁班工坊——塔吉克斯坦鲁班工坊成功举行启运仪式】11月29日，中亚首家鲁班工坊——塔吉克斯坦鲁班工坊在天津城市建设管理职业技术学院和塔吉克斯坦技术大学同步举行启运仪式。中国驻塔吉克斯坦大使吉树民与塔吉克斯坦总统社会发展与公共关系助理纳斯里丁佐达共同为鲁班工坊启运剪彩，天津市、塔吉克斯坦有关负责人出席会议。（中央广电总台国际在线）
5,0,1,2022-12-2 11:41,【全球连线丨“绿色通道”助推非洲鲜食牛油果落地中国市场】在去年11月举行的中非合作论坛第八届部长级会议上，中方宣布为非洲农产品输华建立“绿色通道”。今年8月，来自非洲的鲜食牛油果首次成规模出口中国。截至2021年，中国已连续13年成为非洲最大贸易伙伴。2021年底中非合作论坛第八届部长级会议以来，中非双方稳步推进包括非洲农产品输华“绿色通道”在内的各项论坛举措落地。随着中非合作持续深入，将会有更多的农产品出现在中国的市场、中国人的餐桌。（新华社）
4,0,1,2022-12-1 16:57,【中老铁路磨憨铁路口岸进境水果指定监管场地通过验收】中老铁路磨憨铁路口岸进境水果指定监管场地11月30日顺利通过海关总署验收。指定监管场地的设立能够进一步加强生物安全风险防控和治理体系建设，提升生物安全治理能力，防范动植物疫病疫情输入风险，有效保障国门生物安全。（新华社） 
2,0,2,2022-12-1 14:00,【兰新铁路精阿段启动增建二线 将提升中欧班列运能】兰新铁路精河至阿拉山口段增建二线工程于当天启动建设，项目建成后，将与既有单线铁路组成复线铁路，优化西部边疆铁路网，进一步提升中欧班列运能。（新华社） 兰新铁路精阿段启动增建二线 将提升中欧班列运能 
5,0,1,2022-12-1 13:58,【自然指数：中国科研城市在全球排名快速上升 北京保持第一】英国《自然》增刊《2022自然指数-科研城市》日前指出，中国科研城市在全球排名快速上升，北京在世界领先的科研城市中继续保持首位。（新华社） 自然指数：中国科研城市在全球排名快速上升 北京保持第一 
5,0,3,2022-12-1 11:43,【汇率形成机制日益市场化 人民币国际化“遍地开花”】人民币国际化成果持续巩固并深化。环球银行金融电信协会（SWIFT）近日发布数据显示，今年10月，在基于金额统计的全球支付货币排名中，人民币维持全球第五大活跃货币。而此前8月1日，人民币在国际货币基金组织（IMF）特别提款权（SDR）中的权重，由10.92%上调12.28%。（上海证券报）
6,0,3,2022-12-1 11:42,【全球连线｜全国首批进口越南百香果从广西凭祥友谊关口岸通关】近日，全国首批进口越南百香果从广西凭祥友谊关口岸通关。友谊关口岸是全国主要的陆路水果进口口岸之一，近年来，随着中越两国经贸合作不断深化，越来越多的越南优质农产品经友谊关口岸进入国内老百姓的餐桌。据海关统计，今年1至10月，经友谊关口岸进口的越南水果达19.9万吨，同比增长58.1%。（新华社）
5,0,2,2022-11-30 18:13,【平台助企“抱团出海” “小而美”中觅“先机”——企业“走出去”新动向观察】数据显示，今年1-10月份，我国货物进出口总额346165亿元，同比增长9.5%。今年以来，延宕反复的疫情形势与复杂严峻的国际局势给企业“走出去”带来了不小的挑战，但我国外贸依旧保持增长。变局之下，企业“出海”如何稳航？一些沿海地区企业的“走出去”新趋势、新动向给出了一些答案和思考。（经济参考报）
6,0,2,2022-11-30 16:59,【21金！中国工匠闪耀世界技能大赛】当地时间27日下午，奥地利山城萨尔茨堡寒意逼人，而在萨尔茨堡展览中心举行的2022年世界技能大赛特别赛奥地利赛区闭幕式却热闹非凡。在各国选手和现场观众此起彼伏的欢呼声中，8名中国选手身披国旗陆续登上领奖台，鲜艳的“中国红”成为闭幕式上一道亮丽的风景。（新华社）
4,0,1,2022-11-30 15:13,【多家跨国公司希望在华加强科技合作】第四届世界科技与发展论坛日前在成都召开，多家跨国公司参加由中国国际跨国公司促进会承办的“两院院士与跨国公司合作分论坛”，释放出希望在华加强科技合作的积极信号。（新华社） 多家跨国公司希望在华加强科技合作 
5,0,1,2022-11-30 14:52,【中联部“看中国 听世界”论坛举行】11月28日，中共中央对外联络部当代世界研究中心以视频方式举办第一届“看中国 听世界”论坛。中联部部长刘建超表示，中国共产党重视借鉴吸收人类一切优秀文明成果，愿同各国政党和政治组织共同探索实现现代化道路，不断推进人类命运共同体建设走深走实。斯洛文尼亚前总统图尔克、蒙古国前总理阿玛尔扎尔格勒、埃及前总理沙拉夫等10余个国家的前政要和智库学者参会。（新华社）
7,0,5,2022-11-30 11:52,【中医在津巴布韦广受欢迎】自2020年中国和津巴布韦两国政府在津首都哈拉雷的帕里雷尼亚图瓦医院开设中津中医针灸中心以来，当地数千名患者接受了免费治疗。中津在卫生领域有着长期的合作历史。1985年以来，中国共向津巴布韦派出19支医疗队，解决津巴布韦当地民众就医难问题。（新华社）
8,0,4,2022-11-30 10:43,【外交部发言人：“一带一路”基础设施项目有序落地实施，捷报频传】【简介】外交部发言人赵立坚29日表示，基础设施是互联互通的基石，是“一带一路”建设的优先领域。在各方共同努力下，“一带一路”基础设施项目有序落地实施，捷报频传。（新华社） 中国一带一路网的微博视频 
4,0,2,2022-11-29 20:31,【中国医疗队让越来越多马耳他人接受中医康复治疗】地中海地区中医中心于1994年由中国和马耳他政府合作成立，由江苏省卫生健康委员会派遣医疗队开展诊疗工作。2008年中医中心在马耳他国立圣母医院设立了医科。截至目前，中国已派出18期援马医疗队，累计治疗患者20多万人次。记者日前走进位于马耳他保拉市的地中海地区中医中心时看到，中医成为当地颇受欢迎的健康护理和康复治疗方法。（新华社）
3,0,0,2022-11-29 19:30,【全球连线｜在华留学生的京剧情缘】沈阳师范大学国际教育学院的几位留学生，喜爱中国文化，与京剧结下不解之缘。他们在课余生活中学习京剧，感知中国。（新华社） 中国一带一路网的微博视频 
8,0,3,2022-11-29 19:23,【全球连线｜“洋主播”戴法：我的家在东北】2013年，戴法嫁给东北小伙后在沈阳定居。从听不懂中国话，吃不惯中国菜，到如今可以做东北炖酸菜、包饺子，她已经完全融入了当地的生活，并深深地爱上这里。如今，戴法是辽宁一家面向全球多语种直播带货平台的“洋主播”，用西班牙语向全球推荐中国制造的服装、儿童玩具、数码产品……（新华社）
7,0,2,2022-11-29 19:05,【全球连线｜中企牵头墨西哥首都地铁改造项目新车开启本地化制造】近日，中车株机承建的墨西哥首都墨西哥城地铁一号线整体现代化改造项目本地化制造首列新车完成组装下线。24日，墨西哥城地铁局局长吉列尔莫·卡尔德龙在克雷塔罗州举行发布会。他说，该项目包含29列地铁新车，其中2列在中国制造装配，另27列在墨西哥组装。（新华社）
2,0,1,2022-11-29 18:30,【中企承建孟加拉国河底隧道项目南侧隧道竣工】由中国交通建设股份有限公司承建、中国路桥工程有限责任公司负责实施的孟加拉国卡纳普里河底隧道——孟加拉国国父隧道项目26日举行了南线隧道竣工仪式。（新华社） 中企承建孟加拉国河底隧道项目南侧隧道竣工 
3,0,2,2022-11-29 18:15,【新华全媒+丨小商品借此打开大市场——从义博会看“标准”先行】在制造业领域，“标准”有多重要？日前，在浙江义乌举办的第28届中国义乌国际小商品（标准）博览会上，标准主题馆里的不少展台引人注目，本次卡塔尔世界杯授权的纪念球生产商——义乌市奥凯体育用品有限公司就是其中之一。（新华社）
1,0,2,2022-11-28 17:01,【推动亚太地区实现包容和可持续增长】亚太地区一直是世界经济的重要增长极，中国经济发展一直同亚太区域合作进程相融相伴。近年来，中国与亚太经合组织（APEC）经济体在绿色转型、科技创新、经贸合作、疫苗研发等领域合作稳步前行，为亚太地区经济体共同发展创造更多机遇。（人民日报）
3,0,1,2022-11-28 15:04,【全球连线｜山龙：一个加拿大人的郑和与中国历史文化情结】停靠在加拿大不列颠哥伦比亚省里士满渔人码头的中式古董帆船受到当地关注。这艘船由全实木制造，不同部件上的装饰物件透露出中国古典韵味。船的主人山龙是中国武汉的“洋女婿”，6岁时他看到郑和下西洋的书而被深深吸引，成为一个“中国迷”，拥有一艘中国古帆船成为他人生的梦想。（新华社）
5,0,2,2022-11-28 14:01,【埃塞中企：扎根非洲 造福一方】“一带一路”倡议实施以来，中国与埃塞俄比亚等非洲国家的经贸合作快速发展，中国公民和企业纷纷到埃塞等国创业或拓展市场。在被誉为“非洲政治心脏”的埃塞俄比亚首都亚的斯亚贝巴，中国元素随处可见，像中企承建的高速路、高架桥，不少以中企命名的大楼。中企深深扎根非洲，成为埃塞经济持续高速发展的一个重要推力，为当地百姓带来了更多就业、就医机会和社会福利。（光明日报）
8,0,2,2022-11-28 13:01,【第十九届世界中医药大会推动中医药深入南美】第十九届世界中医药大会26日在巴西圣保罗开幕，为期两天的大会以“推动中医药高质量全球发展，为增进各国人民健康福祉做贡献”为主题，希望促进南美洲民众对中医药的了解。（新华社） 第十九届世界中医药大会推动中医药深入南美 
2,0,2,2022-11-28 11:01,【全球车、中国造，上汽MG入选“2022外国人喜爱的中国品牌”】 11月26日，“2022外国人喜爱的中国品牌”在2022中国企业家博鳌论坛重磅发布，作为中国汽车出海的王牌劲旅，上汽名爵（MG）成功入选。MG的脱颖而出，与其强劲技术实力、过硬产品品质、全球化体系支撑密不可分，更是我国汽车工业乘“新四化”之风、由大变强、换道超车的生动展现。（新华丝路网）
1,0,1,2022-11-28 10:46,【在“世界超市”看全球贸易新风向——来自第28届义博会的观察】从“数字老板娘”到AI主播，从五金小家电到新能源产品，从货物出口到供应链服务，被称为“世界超市”的义乌市场新业态、新模式迭出。11月24日至27日，以“新起点、新市场、新发展”为主题的第28届中国义乌国际小商品（标准）博览会在浙江义乌举行。在这里，新兴领域“中国制造”汇聚一堂，万种商品吸引全球客商目光。（新华社）
1,0,1,2022-11-26 16:54,【第十五届全球纺织服装供应链大会在广西平南县举办】11月23日至25日，第十五届全球纺织服装供应链大会在广西贵港市平南县举办，国内外纺织服装供应链各领域的业界代表围绕“擘画RCEP框架下开放共赢的产业新图景”主题，共话产业融通创新合作，共探产业高质量发展路径。（中国新闻网）
5,0,1,2022-11-26 15:58,【全球连线 | 中非农业合作助力布隆迪改善民生】从“饭都吃不饱”到一大家人丰衣足食、盖起新房，布隆迪布班扎省农民夏尔·恩根达库马纳只用了四年。而这一切，得益于中国农业专家带来的杂交水稻种植技术。“中国专家给我提供种子和化肥，教我种植技术，让我有足够的粮食喂饱孩子们！”养育了6个孩子的夏尔说。4年前，他开始在中国专家指导下种植中国杂交水稻。如今，他家农田的产量已经从每公顷不到6吨增加到9吨，种植面积也从半公顷扩大到了5公顷。日子好了，他家盖起了新房，在村里特别显眼。“接下来，我想多买些土地，再买几头牛，等旱季来临再添上两台新水泵。”夏尔如此规划着未来。（新华社）
5,0,1,2022-11-26 15:54,【通讯：中企投建电站给老挝偏远山区带来发展新机遇】拉萨米所说的是中国电建南欧江流域梯级水电项目，它位于湄公河在老挝最大的支流南欧江上，是中企在海外首个全流域整体规划、投资建设的项目。该项目位于老挝北部琅勃拉邦和丰沙里省，项目包含7个梯级电站，总机组容量127.2万千瓦，于2021年9月底全部投运。（新华社）
2,0,1,2022-11-26 14:38,【第七届中国国际食品餐饮博览会开幕 国内外美食云集】24日，以“促进消费，创新发展”为主题的2022(第七届)中国国际食品餐饮博览会(简称“食餐会”)在湖南长沙开幕，集中展示国内外食品餐饮行业发展成果，推动新技术、新产品、新模式的交流与合作，探索食品餐饮产业转型升级、创新发展的新路径。（中国新闻网）
4,0,1,2022-11-25 16:25,【阿根廷武术运动员的“功夫梦”】“我希望未来能前往中国学习武术。”阿根廷武术运动员弗洛伦西亚•米兰达对记者说，“我期待将来能亲眼欣赏中国的美丽风景，亲身了解武术诞生地的文化渊源。”米兰达今年22岁，是一名运动学和生理学学生。在位于布宜诺斯艾利斯郊区的家中，她接待了记者一行。起居室内，摆放着米兰达历年来在各级武术比赛中赢得的奖杯和奖牌，琳琅满目，加在一起有数十件之多。（新华社）
8,0,1,2022-11-25 16:23,【中企积极履行社会责任惠及尼泊尔民众】由中国电建集团海外投资有限公司投资建设的上马相迪A水电站位于尼泊尔西部勒姆宗县，日前累计发电量突破20亿千瓦时关口。多年来，负责运营该水电站项目的中国水电-萨格玛塔电力有限公司积极履行企业社会责任，助力当地民生保障。（新华社） 
3,0,1,2022-11-25 15:20,【马耳他语版《论语》亮相马耳他图书节】为期5天的2022年马耳他图书节23日在位于马中部城市阿塔尔德的马耳他会展中心开幕，首部马耳他语版《论语》在图书节上亮相。（新华社） 中国一带一路网的微博视频 
5,0,2,2022-11-25 13:24,【RCEP红利从进博会走向东南亚惠及当地农民】RCEP由东盟十国及中国、日本、韩国、澳大利亚、新西兰签署，其覆盖总人口、经济体量、贸易总额均占全球总量约30%，被誉为“世界最大自贸区”。今年1月1日生效以来，RCEP持续释放贸易红利，拉动各成员国外贸增长成效显现。RCEP红利在交通运输领域也十分明显，其所覆盖区域正在畅通东南亚及其周边的国际循环，保障区域内物流持续畅通。（新华社）
4,0,5,2022-11-25 11:18,【“东方旋律”音乐会在马耳他举行】由中国对外文化交流协会主办，马耳他中国文化中心、中国歌剧舞剧院承办的“东方旋律”音乐会23日晚在位于马耳他阿塔尔德的总统府圣安东尼宫举行。（新华社） 中国一带一路网的微博视频 
7,0,3,2022-11-25 10:08,【中老铁路为哈尼族自治县注入新活力】在全国唯一的哈尼族自治县云南省普洱市墨江县，2021年12月3日中老铁路通车，结束了当地不通火车的历史。在途时间缩短，运输效率提高，运输成本降低……开通近一年来，中老铁路为当地经济发展和百姓生活注入了新的活力。（新华社） 中国一带一路网的微博视频 
3,0,0,2022-11-24 17:49,【巴西姑娘鼓中说唱“中国韵”】巴西姑娘艾茉莉是南开大学的硕士研究生，对中国传统文化十分着迷。她初次和中国结缘是在巴西上高中时。因为学校有汉语课，她对老师介绍的中国美食、名胜古迹都特别感兴趣。后来，艾茉莉参加“汉语桥”比赛获得了不错的成绩，更加坚定了她来中国留学的想法。2019年，已是南开大学留学生的艾茉莉在参加学校组织的文化体验活动中，首次接触到了国家级非遗项目“京东大鼓”并为之着迷。她拜师“京东大鼓”艺人王文磊，从“京东大鼓”的学习中体会到了中国传统文化的魅力，也跟着师傅参加了不少演出。艾茉莉希望日后能成为一名中巴之间文化交流的使者。（新华社）
2,0,0,2022-11-24 16:51,【打造全球发展共同体的中国贡献】人类发展当前面临重大挑战。新冠疫情反复延宕，地缘政治局势紧张，全球治理严重缺失。如何破解发展难题？中国倡导推动更加包容、更加普惠、更有韧性的全球发展，与国际社会当前和长远的需求高度、深度契合，受到国际社会广泛认同和赞誉。（新华社）
3,0,3,2022-11-24 15:51,【电动汽车出口持续增长体现中国外贸优化升级】据了解，2022年上半年，全球新能源汽车销量超过422万辆，同比增长66.3%，其中中国新能源汽车销量占全球六成以上，同比增长115%。中国汽车工业协会日前披露，今年1至10月，中国新能源汽车出口49.9万辆，同比增长96.7%。中国新能源汽车产销量连续多年位居全球第一，进入全面市场化拓展期。（新华社）
1,0,5,2022-11-24 14:18,【中国—上海合作组织地方经贸合作综合服务平台即将正式上线】（新华社） 中国一带一路网的微博视频 
4,0,2,2022-11-24 12:18,【全球连线｜印尼建筑师眼中的竹与筑】来自印度尼西亚的郑素琴（Mia Tedjosaputro）在中国生活了近10年，现在苏州西交利物浦大学设计学院担任教师，主要研究竹制品与竹建筑。郑素琴说，之所以研究竹子，是因为这对建筑生态化和环境可持续发展有推动作用，同时也是因为中国和印尼都有着丰富的竹资源、悠久的竹文化和不断发展的竹产业。郑素琴说，越来越多印度尼西亚的公司想到中国开拓业务，两国之间的经贸合作也创造了很多就业机会。未来，她希望两国不断加强经贸往来，在环境保护、提升人民生活水平、共同推进现代化建设等方面不断深化合作。（新华社）
1,0,2,2022-11-24 11:09,【新华全媒＋｜陕西中欧班列2022年开行突破4000列】11月23日，满载洗衣机、电冰箱等家用电器的X8151次中欧班列从西安国际港站驶出，向西开往欧洲。这是中国铁路西安局集团有限公司开行的首趟中欧班列家电出口专列，标志着陕西中欧班列2022年开行突破4000列。（新华社） 中国一带一路网的微博视频 
5,0,4,2022-11-23 18:39,【全球连线｜南博会为中外参展商带来发展新机遇】11月19日至22日，第6届中国—南亚博览会在昆明举行。本届南博会以“共享新机遇，共谋新发展”为主题，在为期4天的时间里，共80个国家、地区和国际组织的代表，共谋中国与南亚合作发展的新篇章。（新华社） 中国一带一路网的微博视频 
6,0,2,2022-11-23 16:36,【全球连线丨托斯卡纳乡间响起“中国风”旋律】文化，总能够把不同国家的人民拉近。11月20日，在位于托斯卡纳大区佩萨河谷的圣卡夏诺小镇，意大利佛罗伦萨大学孔子学院开展了一场别开生面的文艺活动：十余位来自中国的年轻艺术家，带来《春江花月夜》《茉莉花》等数十首中国风乐曲，使当地居民感受到中华文化的风采。（新华社）
3,0,4,2022-11-23 15:39,【泰国榴莲见证“一带一路”创造合作新机遇】中国是泰国最大的鲜榴莲出口市场，出口量连年保持高速增长。泰国商务部数据显示，2021年泰国鲜榴莲出口额达34.89亿美元，其中近九成销往中国。（新华社） 泰国榴莲见证“一带一路”创造合作新机遇 
3,0,1,2022-11-23 14:27,【电视剧《山海情》等优秀视听节目将在多国播出】11月21日，“共享新视听 共创新未来——中阿合作主题周”启动仪式以线上线下相结合方式举行。据悉，电视剧《山海情》《小欢喜》等中国优秀视听节目将在沙特、埃及、阿联酋等国家媒体平台落地播出。（新华社） 电视剧《山海情》等优秀视听节目将在多国播出 
3,0,3,2022-11-23 14:23,【第十一届中国国际货运代理大会在昆明召开】日前，2022年第十一届中国国际货运代理大会暨第七届国际货运交易会在昆明召开，作为第6届中国－南亚博览会暨第26届中国昆明进出口商品交易会的活动之一，该会议吸引来自海内外的500余家企业、2000余位嘉宾参展、参会。（新华社） 中国一带一路网的微博视频 
8,0,1,2022-11-22 17:05,【内蒙古：中欧班列首次以“铁路快速通关”模式出境】11月21日23时，第七列中欧班列（赤峰号）从内蒙古自治区赤峰保税物流中心驶出，本次班列首次通过“铁路快速通关”模式出境，是内蒙古首列“铁路快速通关”模式出境的中欧货运班列。至此，中欧班列(赤峰号)2022年出口货值突破1亿元（人民币）
6,0,4,2022-11-22 16:05,【中国同周边国家共建“一带一路”成果实打实、沉甸甸（环球热点）】印尼雅万高铁成功试运行、柬埔寨金港高速公路通车、中老铁路货运站实现全部启用、马尔代夫维拉纳机场启用第一条4F级跑道和现代化水飞航站楼……近来，中国同周边国家高质量共建“一带一路”的一大批重点项目“全面开花”，取得积极进展，为中国同周边国家深化互利共赢合作再添生动例证。（人民网） 中国同周边国家共建“一带一路”成果实打实、沉甸甸（环球热点）
3,0,1,2022-11-22 11:51,【第五届“一带一路”成都全球象棋双人赛落幕】经过两天四轮的角逐，2022年第五届“一带一路”成都全球象棋双人赛20日晚落下帷幕。在国内混双组的较量中，赵鑫鑫/时凤兰组合经过一盘慢棋和两盘快棋加赛后，艰难击败洪智/党国蕾组合，夺得冠军。（新华社） 
4,0,3,2022-11-22 10:45,【新华全媒+｜2022金融街论坛年会在京开幕】以“踔厉奋发，共向未来——变局下的经济发展与金融合作”为主题的2022金融街论坛年会11月21日至23日在北京举办。全球近400名嘉宾探讨如何推动各国各方共享深化国际合作机遇，共同克服全球经济发展面临的挑战。（新华社） 中国一带一路网的微博视频 
4,0,4,2022-11-22 10:30,【8月以来肯尼亚对华出口牛油果达4亿元】肯尼亚园艺局数据显示，自今年8月2日肯尼亚首次向中国出口鲜食牛油果以来，肯尼亚输华牛油果的出口总额已累计达到70亿先令（约4.08亿元），超过了肯今年前七个月的牛油果出口总额。（中国一带一路网） 
6,0,3,2022-11-22 9:49,【空客天津投产首架A321飞机】空中客车宣布在其位于中国天津的空中客车A320系列飞机亚洲总装线投产首架A321飞机，进一步扩大并深化与中国航空业的合作，表明了空中客车加强与中国长期战略合作伙伴关系的决心。（今晚报） 空客天津投产首架A321飞机 
4,0,3,2022-11-21 16:49,【外媒报道：厦门至白俄罗斯明斯克中欧班列开通】11月20日上午，福建厦门开往白俄罗斯明斯克的X8098次中欧班列从厦门海沧站驶出，这是厦门开出的首趟至白俄罗斯中欧班列。（参考消息网） 外媒报道：厦门至白俄罗斯明斯克中欧班列开通 
5,0,2,2022-11-21 15:01,【新华全媒+丨西部陆海新通道今年已新开通线路78条 创历年新高】西部陆海新通道班列密集首发——11月16日，西部陆海新通道中老铁路 （达州—万象）国际货运列车首发；11月17日，西部陆海新通道（酒泉—钦州港—鹿特丹）铁海国际联运班列首发……“今年以来，西部陆海新通道新开通线路已达78条，是去年全年的5倍多，创造了通道运营5年来的新高。”西部陆海新通道物流和运营组织中心主任刘玮说，在新冠肺炎疫情冲击等复杂形势下，西部陆海新通道实现逆势“飘红”。（新华社）
5,0,2,2022-11-21 12:55,【图解丨备受瞩目的雅万高铁有何特别之处？】（新华网） 
3,0,2,2022-11-21 12:00,【中国持续推进高水平对外开放为世界提供新机遇】来华发展近30年的丹麦生物制药企业诺和诺德继续对中国投下“信任票”。公司近期决定，投资4亿元人民币在中国（上海）自由贸易试验区临港新片区成立投资公司，旨在推动在华全产业链布局再升级。最新数据显示，今年1至10月，中国实际使用外资金额达10898.6亿元人民币，按可比口径同比增长14.4%。从行业看，服务业实际使用外资金额7988.4亿元人民币，增长4.8%。高技术产业实际使用外资增长31.7%，其中高技术制造业增长57.2%，高技术服务业增长25%。（新华社）
4,0,2,2022-11-21 11:01,【前10月中国最大陆路口岸进出境中欧班列3968列】今年前10月，中国最大陆路口岸--满洲里口岸进出境中欧班列为3968列，累计开行线路57条，为高质量共建“一带一路”提供了有力支撑。（中国新闻网） 
11,0,6,2022-11-21 10:43,【首届“一带一路”供应链峰会在昆明召开】首届“一带一路”供应链峰会11月20日在昆明召开，本次会议以“畅通产业链供应链 ‘链’通‘一带一路’”为主题，汇聚行业专家共话全球产业链供应链畅通机制。（新华社） 中国一带一路网的微博视频 
4,0,2,2022-11-20 19:43,【全球连线｜文化交流越山海：中国藏书阁对话意大利古老图书馆】11月18日，中国藏书阁“云端”对话意大利古老图书馆的活动在浙江宁波举行。 中国一带一路网的微博视频 
5,0,1,2022-11-20 15:11,【全球连线丨“两国双园”见证中国印尼合作再上新台阶】中印尼“两国双园”是以福建福州元洪投资区和印尼的民丹工业园等园区为载体，探索建立产业互联、设施互通、政策互惠的双园结对合作机制，目前，中方园区已投产项目36个。 
6,0,2,2022-11-19 18:32,【贵州已开出33列中欧班列】一列搭载着散热器、螺杆空压机等货物的50个40英尺集装箱的中欧班列17日下午从贵阳国际陆港驶出，经新疆阿拉山口口岸出境至俄罗斯莫斯科沃尔西诺，这是贵州开出的第33列中欧班列。（中新网） 贵州已开出33列中欧班列 
9,0,2,2022-11-19 17:25,【全球连线｜古镇里的泰国人：烹出幸福味】泰国人杨瑞光和妻子在浙江省建德市寿昌古镇经营一家泰国餐厅。尽管远离城市中心，但得益于泰国餐饮文化在中国的不断普及和中泰两国日益密切的商业往来，新鲜食材的采购运输愈发便捷，越来越多食客愿意前来品尝正宗泰国味道。（新华社） 中国一带一路网的微博视频 
15,0,5,2022-11-19 16:24,【全球连线｜探访中泰铁路合作项目一期工程】中泰铁路是中泰两国共建“一带一路”的重点项目，同时也是泰国首条标准轨高速铁路，一期工程连接曼谷和呵叻，二期工程将延伸至东北边贸重镇廊开，此处与老挝首都万象仅一河之隔，将实现与中老铁路衔接，经老挝磨丁和中国磨憨可以抵达昆明。（新华社）
